Player,Club,Goals
Douglas Costa,FC Shakhtar Donetsk,6
Douglas Costa,Juventus,1
Douglas Costa,FC Bayern Munchen,4
Diego Costa,Chelsea FC,2
Diego Costa,Club Atletico de Madrid,9
Michael Essien,Olympique Lyonnais,5
Michael Essien,Chelsea FC,6
Alberto Gilardino,AC Milan,4
Alberto Gilardino,ACF Fiorentina,7
Jonas,Valencia CF,8
Jonas,SL Benfica,3
Sidney Govou,Olympique Lyonnais,10
Sidney Govou,Panathinaikos FC,1
Sebastien Haller,AFC Ajax,11
Xavi Hernandez,FC Barcelona,11
Andres Iniesta,FC Barcelona,11
Lorenzo Insigne,SSC Napoli,11
Toni Kroos,FC Bayern Munchen,6
Toni Kroos,Real Madrid CF,5
Claudio Lopez,Valencia CF,5
Claudio Lopez,SS Lazio,6
Bernardo Silva,AS Monaco FC,2
Bernardo Silva,Manchester City FC,9
Michael Owen,Liverpool FC,6
Michael Owen,Real Madrid CF,1
Michael Owen,Manchester United,4
Mesut Ozil,Real Madrid CF,4
Mesut Ozil,Arsenal FC,7
Christian Panucci,AC Milan,3
Christian Panucci,Real Madrid CF,3
Christian Panucci,AS Roma,5
Miralem Pjanic,Olympique Lyonnais,5
Miralem Pjanic,AS Roma,2
Miralem Pjanic,Juventus,4
Miralem Pjanic,FC Barcelona,0
Miralem Pjanic,Besiktas JK,0
Tomas Rosicky,AC Sparta Praha,4
Tomas Rosicky,Borussia Dortmund,4
Tomas Rosicky,Arsenal FC,3
Clarence Seedorf,Real Madrid CF,3
Clarence Seedorf,AC Milan,8
Maksim Shatskikh,FC Dynamo Kyiv,11
Dejan Stankovic,SS Lazio,3
Dejan Stankovic,FC Internazionale Milano,8
Roar Strand,Rosenborg BK,11
Alex Teixeira,FC Shakhtar Donetsk,11
Alex Teixeira,Besiktas JK,0
Jon Dahl Tomasson,Feyenoord,7
Jon Dahl Tomasson,AC Milan,4
George Weah,Paris Saint-Germain,7
George Weah,AC Milan,4
Dwight Yorke,Manchester United,11
Zlatko Zahovic,FC Porto,8
